prediction,reference,f1,em,tokens_used,num_api_calls,error
Badr Hari,Badr Hari,1.0,1,3937,4,
Super Bowl XLVIII,Super Bowl XLVIII,1.0,1,2944,4,
"The American heavy metal band that wrote the music for the fictional *Hurt Locker The Musical* is **Metallica**. Their current members are:

*   **James Hetfield**
*   **Lars Ulrich**
*   **Kirk Hammett**
*   **Robert Trujillo**","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0.28571428571428575,0,5537,5,
2017,2017,1.0,1,3568,4,
Nevada,Nevada,1.0,1,3358,4,
Kelli Ward,Kelli Ward,1.0,1,4848,4,
Carol Lawrence,Carol Lawrence,1.0,1,8360,6,
New York City,New York City,1.0,1,4106,4,
Amy Jo Johnson,Amy Jo Johnson,1.0,1,3686,4,
Australia,Australia,1.0,1,3847,4,
California,California,1.0,1,3245,4,
Roman Catholic,Roman Catholic,1.0,1,3856,4,
Howard Marks,Dennis Howard Marks,0.8,0,5188,5,
Robert Sheehan,Robert Sheehan,1.0,1,3645,4,
Sex and the City,Sex and the City,1.0,1,4083,4,
England,England,1.0,1,3328,4,
Robert Zemeckis,Robert Zemeckis,1.0,1,3506,4,
South Park,South Park,1.0,1,3943,4,
Boston College,Boston College,1.0,1,3506,4,
Victor Mature,Victor John Mature,0.8,0,3879,4,
Canada,Canada,1.0,1,3308,4,
Keyshia Cole,Keyshia Cole,1.0,1,4867,5,
Peter O'Meara portrayed the real-life World War II officer **Norman Dike** in the HBO miniseries *Band of Brothers*.,Band of Brothers,0.2857142857142857,0,4060,4,
Train to Busan,Train to Busan,1.0,1,3983,4,
Music,rock band,0.0,0,3456,4,
CEO of Lionsgate UK & Europe,CEO of Lionsgate UK & Europe,1.0,1,10242,5,
Swoosie Kurtz,Swoosie Kurtz,1.0,1,5393,5,
,Great Britain,0.0,0,1775,1,Actor failed: APITimeoutError: Request timed out.
"Yeon Woo-jin, born on July 5, 1984","July 5, 1984",0.6,0,5121,5,
Turkey,Turkey,1.0,1,3512,4,
300,300,1.0,1,3931,4,
"2,586","2,586",1.0,1,4249,5,
English,English,1.0,1,3362,4,
Imi Lichtenfeld,"Emrich ""Imi"" Lichtenfeld",0.8,0,5319,5,
Lord Black of Crossharbour,Lord Black of Crossharbour,1.0,1,3441,4,
Hong Kong,Hong Kong,1.0,1,3691,4,
Danny Manning,Danny Manning,1.0,1,3598,4,
Bust,BUST,1.0,1,3724,4,
,rock,0.0,0,1214,1,Actor failed: APITimeoutError: Request timed out.
Sarah J. Maas,Sarah Janet Maas,0.6666666666666666,0,3000,4,
Gorillaz,alternative rock virtual band Gorillaz,0.33333333333333337,0,3852,4,
,rock,0.0,0,1145,1,Actor failed: APITimeoutError: Request timed out.
Tsim Sha Tsui (specifically beneath Harbour City),"Tsim Sha Tsui, Hong Kong",0.5,0,3231,4,
Massachusetts,Massachusetts,1.0,1,3523,4,
Beetle,beetle,1.0,1,9925,6,
Cataloochee,Cataloochee,1.0,1,5911,5,
NBC 10,NBC 10,1.0,1,3655,4,
Kōbō Abe and Agatha Christie were both **writers** and **playwrights**.,playwright,0.0,0,3655,4,
China,China,1.0,1,3164,4,
The Raconteurs,The Raconteurs,1.0,1,3233,4,
Cooking Light,Cooking Light,1.0,1,3738,4,
Radiohead,Radiohead,1.0,1,3186,4,
Opera,opera,1.0,1,3862,4,
Lyudmila Petrushevskaya,Lyudmila Stefanovna Petrushevskaya,0.8,0,4148,5,
Yes,yes,1.0,1,3265,4,
Donington,"Donington, Lincolnshire",0.6666666666666666,0,4492,5,
ESPN,ESPN,1.0,1,4077,4,
Amelia Earhart,Amelia Earhart,1.0,1,1860,2,
England,England,1.0,1,4896,4,
Germany,Germany,1.0,1,3751,4,
George Frideric Handel,George Frideric Handel,1.0,1,3609,4,
Valley View Casino Center,Valley View Casino Center,1.0,1,4740,5,
Paul McCartney,Paul McCartney,1.0,1,3200,4,
"The other division Trevor Prangley competed in is **Middleweight**, which refers to different weight classes in mixed martial arts. (Note: The text specifies he fought in the Light Heavyweight division, not Light Weight).",refers to different weight classes,0.2631578947368421,0,7846,5,
Love/Hate,Love/Hate,1.0,1,5802,5,
Scott Joplin,Scott Joplin,1.0,1,49370,17,Actor failed: APITimeoutError: Request timed out.
Ram Charan,Ram Charan,1.0,1,4625,4,
"September 29, 1784","September 29, 1784",1.0,1,4575,5,
2,two,0.0,0,5017,5,
25 June 1961,25 June 1961,1.0,1,3123,4,
Field Hockey,2012 Summer Olympics,0.0,0,5029,5,
The Ladykillers,The Ladykillers,1.0,1,4960,4,
Authors,is a British author,0.0,0,3708,4,
Born to Run,Born to Run,1.0,1,4779,5,
England,England,1.0,1,4731,5,
Mar-a-Lago,Mar-a-Lago,1.0,1,4082,4,
,lead singer,0.0,0,887,1,Actor failed: APITimeoutError: Request timed out.
Dick Van Patten,Richard Vincent Van Patten,0.5714285714285715,0,3856,4,
Vancouver Canucks,Vancouver Canucks,1.0,1,2754,4,
"No, only Roberto Bolaño is Chilean; Yukio Mishima was Japanese.",no,0.18181818181818182,0,3956,4,
"""I Will Always Love You""",I Will Always Love You,1.0,1,5269,4,
"The play described as ""Marxism a la Mother Goose"" (Mother Goose being a figure associated with fairy tales and pantomime) is *Revolt of the Beavers*. It performed at the **Adelphi Theatre** in New York City.",Adelphi Theatre,0.1081081081081081,0,6275,4,
"Steyr Mannlicher, a firearms manufacturer, is based in Sankt Ulrich bei Steyr, Austria.",Steyr Mannlicher,0.2666666666666667,0,4558,5,
Country music,country,0.6666666666666666,0,3971,4,
Film director,film director,1.0,1,3428,4,
Warrington,Cheshire,0.0,0,4577,5,
American Pie,American Pie,1.0,1,8520,4,
,Mellon Collie and the Infinite Sadness,0.0,0,1821,1,Actor failed: APITimeoutError: Request timed out.
Duchy of Cornwall land,Duchy of Cornwall land,1.0,1,4939,5,
Brandon Camp,Brandon Camp,1.0,1,3092,4,
Brazil,Brazil,1.0,1,3634,4,
,Scotland,0.0,0,1408,1,Actor failed: APITimeoutError: Request timed out.
1958,1958,1.0,1,3200,4,
Rags Ragland died 2 years after starring in *Meet the People* (1944). He died in 1946.,II,0.0,0,3865,4,
The Warriors Gate is an **action-adventure-fantasy** film.,action,0.0,0,2948,4,
Rudolf Nureyev,Rudolf Khametovich Nureyev,0.8,0,7289,5,
A Mother's Gift,A Mother's Gift,1.0,1,4735,4,
Predestination,Predestination,1.0,1,4782,5,
World War II,World War II,1.0,1,2932,4,
"August 5, 1962","August 5, 1962",1.0,1,4239,4,
"A ranch in Conway, Missouri",Missouri,0.33333333333333337,0,4968,5,
Newton Heath,the club was founded as Newton Heath LYR,0.4,0,4170,4,
Ford Motor Land Development and Petrie Dierman Kughn built The Great Mall (one of the three Mills landmarks in California) in 1994.,Petrie Dierman Kughn in 1994.,0.37037037037037035,0,6546,5,
The New York Cotton Exchange,New York Cotton Exchange,0.888888888888889,0,3400,4,
"Approximately 8,765,000","8,765,000",0.6666666666666666,0,4465,4,
Mary Stanley,Mary Stanley,1.0,1,4456,4,
Dick Van Dyke,Dick Van Dyke,1.0,1,6544,4,
Luc Besson,Luc Besson,1.0,1,3086,4,
"St. John's College, the private liberal arts college known for its Great Books curriculum, was an important contributor and co-sponsor of EnVISIONing Annapolis, a lecture series and visioning charrette for the city of Annapolis, Maryland, where the college's main campus is located.",Important contributors and co-sponsors,0.08695652173913042,0,4363,4,
1975,1975,1.0,1,4532,4,
Andrew Goth,Andrew Goth,1.0,1,3267,4,
Gordie Tapp,"banjo player and former member of the television variety show ""Hee Haw"" gang having played the role of Ida Lee Nagger, the ironing, nagging wife of Laverne Nagger (Gordie Tapp).",0.125,0,7867,6,
Hyde United F.C.,Hyde United Football Club,0.5714285714285715,0,3332,4,
,"March 3, 2005",0.0,0,1195,1,Actor failed: APITimeoutError: Request timed out.
Rock,rock,1.0,1,11792,5,
40,40 years,0.6666666666666666,0,5489,5,
Royal Irish Regiment,Royal Irish Regiment,1.0,1,5016,4,
Greta Garbo,Greta Garbo,1.0,1,3753,4,
Arto Tunçboyacıyan,Arto Tunçboyacıyan,1.0,1,4403,4,
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,1.0,1,4836,4,
Enterprise Rent-A-Car,Enterprise Rent-A-Car,1.0,1,4943,4,
Ethanol,Ethanol,1.0,1,3817,4,
The Kansas City Chiefs,2016 Kansas City Chiefs season,0.6666666666666665,0,4614,4,
Burchardia,Burchardia,1.0,1,4044,4,
Game shows,game shows,1.0,1,3543,4,
World War II,World War II,1.0,1,3256,4,
,Americans,0.0,0,1723,1,Actor failed: APITimeoutError: Request timed out.
Sri Lanka,Sri Lanka,1.0,1,3632,4,
"March 1, 2017","March 1, 2017",1.0,1,4562,5,
,Pearl Harbor,0.0,0,1342,1,Actor failed: APITimeoutError: Request timed out.
,"Atlanta, Georgia",0.0,0,2641,1,Actor failed: APITimeoutError: Request timed out.
M.I.L.F. $,M.I.L.F. $,1.0,1,5180,5,
(RED),RED,1.0,1,7701,4,
Calvin Coolidge,John Calvin Coolidge Jr.,0.6666666666666666,0,1772,2,
13-18,13-18,1.0,1,3103,4,
,Molière,0.0,0,2051,1,Actor failed: APITimeoutError: Request timed out.
1957,1957,1.0,1,3644,4,
Smriti Irani,Smriti Malhotra,0.5,0,4901,5,
Jessica Alba,Jessica Marie Alba,0.8,0,2918,4,
Ireland,Ireland,1.0,1,4109,4,
33 km,33 km,1.0,1,3861,4,
Board games,game,0.0,0,3443,4,
The Kingdom of England,Kingdom of England,0.8571428571428571,0,4859,4,
John le Carré,David John Moore Cornwell,0.28571428571428575,0,4484,4,
"Plants (specifically, they are both genera of flowering plants).",plants,0.19999999999999998,0,3208,4,
Jason Statham,Jason Statham,1.0,1,3751,4,
Benny Andersson,Benny Andersson,1.0,1,4550,4,
2005,2005,1.0,1,4898,4,
Canada,Canada,1.0,1,3772,4,
,Alan Sokal,0.0,0,1134,1,Actor failed: APITimeoutError: Request timed out.
The bicameral parliament of the Polish–Lithuanian Commonwealth is officially titled the **General Sejm** (Polish: *sejm walny*).,Sejm of the Polish–Lithuanian Commonwealth,0.47619047619047616,0,3986,4,
Na Do-hyang,Na Do-hyang,1.0,1,3918,4,
The United States,United States,0.8,0,3249,4,
John Ritter,John Ritter,1.0,1,3371,4,
American Horse was a member of the **Oglala Lakota** tribe.,"American Horse (Oglala Lakota: ""Wašíčuŋ Tȟašúŋke"" in Standard Lakota Orthography) (a/k/a ""American Horse the Elder"") (1830–September 9, 1876) was an Oglala Lakota warrior chief renowned for Spartan courage and honor.",0.3,0,4186,4,
China,People's Republic of China,0.4,0,2725,4,
"Wayne State University was founded in 1868, while Stellenbosch University received full university status in 1918. Therefore, Wayne State University was founded first.","Founded in 1868, WSU consists of 13 schools and colleges offering nearly 350 programs to more than 27,000 graduate and undergraduate students",0.1333333333333333,0,18680,12,
Film director,film director,1.0,1,3210,4,
Philip Terzian,Philip Henry Terzian,0.8,0,3674,4,
Manchester United,Saint-Étienne,0.0,0,7928,4,
Christopher Paolini,Christopher Paolini,1.0,1,3400,4,
Professor Emeritus,Professor Emeritus,1.0,1,4749,5,
,'Till) I Kissed You,0.0,0,1938,1,Actor failed: APITimeoutError: Request timed out.
9 January 2011,9 January 2011,1.0,1,3447,4,
Johnny English Reborn,Johnny English Reborn,1.0,1,5251,5,
Smoothie King Center,Smoothie King Center,1.0,1,6063,5,
2005 and 2007,"2005, 2007",0.8,0,6535,4,
"Based on the provided documents, **Between Shades of Gray** is identified as a best-seller by Ruta Sepetys. Additionally, her novel *Out of the Easy* is noted as a *New York Times* bestseller.",Between Shades of Gray,0.2222222222222222,0,5943,5,
2003,2003,1.0,1,3712,4,
SBS,SBS,1.0,1,5786,5,
Documentary films,film,0.0,0,3225,4,
World War II,World War II,1.0,1,3524,4,
Musician,singer,0.0,0,3451,4,
Rapture,Rapture,1.0,1,7747,6,
Poet,poet,1.0,1,3341,4,
Blanck Mass,Blanck Mass,1.0,1,2847,4,
Lee Hong-gi,Lee Hong-gi,1.0,1,5162,4,
Hamilton,Hamilton,1.0,1,4054,4,
Julius Caesar,"Shakespeare's play ""Julius Caesar""",0.6666666666666666,0,3322,4,
"Based on the provided documents, Disha Patani appears in the following films:

*   **M.S. Dhoni: The Untold Story** (2016)
*   **Baaghi 2**
*   **Lofar** (2015)",Hindi and Telugu films,0.07692307692307693,0,8241,6,
British Cunard Line,British Cunard Line,1.0,1,5550,4,
John Randle,John Anthony Randle,0.8,0,5093,4,
Ron Kovic,"Ronald Lawrence ""Ron"" Kovic",0.6666666666666666,0,3918,4,
Jay,Jay,1.0,1,3274,4,
United States,United States,1.0,1,1594,2,
The Netherlands,Netherlands,0.6666666666666666,0,4050,4,
"May 11, 1894","May 11, 1894",1.0,1,3024,4,
"October 28, 2016","October 28, 2016",1.0,1,3394,4,
"University of California, Berkeley","University of California, Berkeley",1.0,1,2925,4,
"September 23, 1991","September 23, 1991",1.0,1,4884,5,
Gregg Berhalter,Gregg Berhalter,1.0,1,3861,4,
Xinzhou,Xinzhou () is a prefecture-level city,0.33333333333333337,0,3559,4,
North Somercotes,North Somercotes,1.0,1,4535,5,
BNSF Railway,BNSF,0.6666666666666666,0,6000,5,
Scott Speedman is the actor who portrays the fictional character Michael Corvin in the *Underworld* film series.,Underworld,0.1111111111111111,0,4099,4,
The Domesday Book,Domesday Book,0.8,0,3921,4,
United Kingdom,UK,0.0,0,3131,4,
William Grant Still composed more than 149 other works (as he composed more than 150 works in total).,"more than 150 works, including five symphonies and eight operas.",0.2857142857142857,0,5598,5,
The Apple A4,Apple A4,0.8,0,5691,4,
Documentary,documentary,1.0,1,3555,4,
"No, only the Monastery of the Transfiguration, Kinaliada is a Greek Orthodox monastery. The Süreyya Opera House is an opera hall located in Istanbul.",no,0.07999999999999999,0,5532,5,
Township (or civil township),cities,0.0,0,6176,5,
The San Antonio Spurs are a member of the **National Basketball Association** (NBA).,National Basketball Association (NBA),0.47058823529411764,0,4028,2,
English,English,1.0,1,3796,4,
Zimbabwe,Zimbabwe,1.0,1,5246,5,
Dark Horse,Dark Horse,1.0,1,5120,4,
Both are documentary films.,documentary,0.4,0,3998,4,
1843,1843,1.0,1,4389,5,
"The Peace Palace Library is located in The Hague, Netherlands.","It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice",0.5185185185185185,0,3222,4,
Glam rock,English glam rock band,0.6666666666666666,0,6661,4,
"The song is ""If My Friends Could See Me Now"".",If My Friends Could See Me Now,0.8235294117647058,0,5561,4,
The Stardust Resort and Casino,Stardust Resort and Casino,0.888888888888889,0,4180,5,
George Gipp,George Gipp,1.0,1,4147,4,
Clint Eastwood,Clint Eastwood,1.0,1,6736,4,
"April 2, 2011","April 2, 2011",1.0,1,3222,4,
Deep house,Deep house,1.0,1,4171,4,
Plant,plants,0.0,0,3451,4,
Pandit Kishan Maharaj belonged to the **Benares gharana**.,Benares gharānā,0.2,0,3374,4,
Grand Old Party,Grand Old Party,1.0,1,3522,4,
He was named Pakistan's ODI Captain.,He took up the Test captaincy,0.16666666666666666,0,3752,4,
30 June to 22 July 2007,30 June to 22 July 2007,1.0,1,3532,4,
