prediction,reference,f1,em,tokens_used,num_api_calls,error
Richard Nixon,President Richard Nixon,0.8,0,3337,4,
Nepita,Crambidae,0.0,0,14214,10,
6.213 km,6.213 km long,0.8,0,3362,4,
U.S. Highway 60,US 60,0.8,0,3168,4,
Todd Phillips,Todd Phillips,1.0,1,5826,6,
No,no,1.0,1,1967,3,
Aleksander Ford,Aleksander Ford,1.0,1,2621,4,
Ulster County,Ulster County,1.0,1,3350,4,
Francis Nethersole,Sir Francis Nethersole,0.8,0,2964,4,
"Based on the information from the available chunks, the Hacker-Pschorr Brewery needs to limit ingredients in beer to comply with German regulations. The Reinheitsgebot (German Beer Purity Law) is specifically described as ""a series of regulations limiting the ingredients in beer in Germany.""",ingredients in beer,0.13043478260869565,0,3955,4,
Glenn Hughes,Glenn Hughes,1.0,1,2812,4,
1941,"March 28, 1941",0.5,0,3598,4,
standard gauge track,standard gauge track,1.0,1,3177,4,
Saint Motel,Saint Motel,1.0,1,1966,3,
Maurice Hines and his brother Gregory Hines were famous for being dancers.,dancer Gregory Hines,0.26666666666666666,0,7804,7,
No,yes,0.0,0,8113,7,
Hawaii,Hawaii,1.0,1,3609,4,
Academy of Motion Picture Arts and Sciences (AMPAS),Academy of Motion Picture Arts and Sciences,0.9333333333333333,0,2962,4,
Cheltenham,Cheltenham,1.0,1,3093,4,
10 Rillington Place,10 Rillington Place,1.0,1,4576,5,
Synth-pop,synth-pop,1.0,1,3208,4,
Roger Christian,Roger Christian,1.0,1,3024,4,
herbaceous perennial plants,plant,0.0,0,6125,5,
375 miles,375 mi long,0.4,0,6352,6,
Craig Newmark,Craig Newmark,1.0,1,3291,4,
1963 Pan American Games,Pan American Games,0.8571428571428571,0,3390,4,
Cognizant,Cognizant,1.0,1,2942,4,
Presque Isle State Park,Presque Isle,0.6666666666666666,0,10419,8,
"Based on the context information, Benjamin Halfpenny played for several clubs including Widnes, St. Helens, and Warrington. For Widnes, their home matches are played at the Select Security Stadium in Widnes, Cheshire.",Select Security Stadium,0.17142857142857143,0,3415,4,
Isabelle Mergault,Isabelle Mergault,1.0,1,16697,9,
0.9 seconds,0.9 s.,0.5,0,8350,7,
Halestorm,Halestorm,1.0,1,2168,3,
2523,"2,523",1.0,1,3505,4,
"Albuquerque, New Mexico","Albuquerque, New Mexico",1.0,1,5271,5,
Millard Fillmore,Millard Fillmore,1.0,1,3323,4,
Rihanna,Rihanna,1.0,1,3181,4,
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,3222,4,
