prediction,reference,f1,em,tokens_used,num_api_calls
Badr Hari,Badr Hari,1.0,1,2035,1
Super Bowl XLVIII,Super Bowl XLVIII,1.0,1,2173,1
"James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0.6,0,2628,1
2017,2017,1.0,1,1561,1
Nevada,Nevada,1.0,1,1794,1
Kelli Ward,Kelli Ward,1.0,1,1594,1
Carol Lawrence,Carol Lawrence,1.0,1,1956,1
New York City,New York City,1.0,1,2257,1
Amy Jo Johnson,Amy Jo Johnson,1.0,1,2145,1
Australia,Australia,1.0,1,1585,1
California,California,1.0,1,1474,1
Roman Catholic,Roman Catholic,1.0,1,2119,1
Howard Marks,Dennis Howard Marks,0.8,0,1838,1
Robert Sheehan,Robert Sheehan,1.0,1,1484,1
Sex and the City,Sex and the City,1.0,1,2214,1
England,England,1.0,1,2310,1
Robert Zemeckis,Robert Zemeckis,1.0,1,2162,1
South Park,South Park,1.0,1,1820,1
Boston College,Boston College,1.0,1,2115,1
Victor Mature,Victor John Mature,0.8,0,2292,1
Canada,Canada,1.0,1,1628,1
Keyshia Cole,Keyshia Cole,1.0,1,2348,1
"Peter O'Meara portrayed Norman Dike in the HBO series ""Band of Brothers"".",Band of Brothers,0.4,0,2209,1
Train to Busan,Train to Busan,1.0,1,1637,1
Music industry,rock band,0.0,0,1886,1
CEO of Lionsgate UK & Europe,CEO of Lionsgate UK & Europe,1.0,1,2158,1
Swoosie Kurtz,Swoosie Kurtz,1.0,1,1495,1
Great Britain,Great Britain,1.0,1,7877,1
"July 5, 1984","July 5, 1984",1.0,1,1393,1
Turkey,Turkey,1.0,1,1864,1
300,300,1.0,1,1869,1
"2,586","2,586",1.0,1,1688,1
English,English,1.0,1,1424,1
Imi Lichtenfeld,"Emrich ""Imi"" Lichtenfeld",0.8,0,1796,1
Lord Black of Crossharbour,Lord Black of Crossharbour,1.0,1,1736,1
"Central, Hong Kong",Hong Kong,0.8,0,3555,1
Danny Manning,Danny Manning,1.0,1,2595,1
Bust,BUST,1.0,1,1983,1
rock,rock,1.0,1,1969,1
Sarah J. Maas,Sarah Janet Maas,0.6666666666666666,0,1603,1
Gorillaz,alternative rock virtual band Gorillaz,0.33333333333333337,0,2463,1
rock,rock,1.0,1,6280,1
Harbour City,"Tsim Sha Tsui, Hong Kong",0.0,0,1572,1
Massachusetts,Massachusetts,1.0,1,1694,1
Carabus glabratus,beetle,0.0,0,1718,1
Cataloochee,Cataloochee,1.0,1,1788,1
NBC 10,NBC 10,1.0,1,2055,1
writer,playwright,0.0,0,1719,1
China,China,1.0,1,540,1
The Raconteurs,The Raconteurs,1.0,1,1455,1
Cooking Light,Cooking Light,1.0,1,1658,1
Radiohead,Radiohead,1.0,1,1967,1
music drama,opera,0.0,0,2677,1
Lyudmila Petrushevskaya,Lyudmila Stefanovna Petrushevskaya,0.8,0,1649,1
yes,yes,1.0,1,612,1
Donington,"Donington, Lincolnshire",0.6666666666666666,0,1239,1
ESPN,ESPN,1.0,1,2046,1
Amelia Earhart,Amelia Earhart,1.0,1,1986,1
England,England,1.0,1,2558,1
Germany,Germany,1.0,1,1417,1
George Frideric Handel,George Frideric Handel,1.0,1,1741,1
Valley View Casino Center,Valley View Casino Center,1.0,1,1564,1
Paul McCartney,Paul McCartney,1.0,1,2302,1
Middleweight,refers to different weight classes,0.0,0,2047,1
Love/Hate,Love/Hate,1.0,1,1972,1
The answer is not found in the context.,Scott Joplin,0.0,0,3241,1
Ram Charan,Ram Charan,1.0,1,2432,1
"September 29, 1784","September 29, 1784",1.0,1,1980,1
two,two,1.0,1,2568,1
25 June 1961,25 June 1961,1.0,1,1650,1
field hockey,2012 Summer Olympics,0.0,0,1505,1
The Ladykillers,The Ladykillers,1.0,1,1933,1
Authors,is a British author,0.0,0,1605,1
Born to Run,Born to Run,1.0,1,1685,1
England,England,1.0,1,1731,1
Mar-a-Lago,Mar-a-Lago,1.0,1,1956,1
singer,lead singer,0.6666666666666666,0,1680,1
Dick Van Patten,Richard Vincent Van Patten,0.5714285714285715,0,1433,1
Vancouver Canucks,Vancouver Canucks,1.0,1,1785,1
No,no,1.0,1,2330,1
I Will Always Love You,I Will Always Love You,1.0,1,2271,1
Adelphi Theatre,Adelphi Theatre,1.0,1,2987,1
Steyr Mannlicher,Steyr Mannlicher,1.0,1,1063,1
Country music,country,0.6666666666666666,0,3106,1
film director,film director,1.0,1,1188,1
Warrington,Cheshire,0.0,0,1826,1
American Pie,American Pie,1.0,1,1671,1
1979,Mellon Collie and the Infinite Sadness,0.0,0,2923,1
Newton Park on Duchy of Cornwall land,Duchy of Cornwall land,0.7272727272727273,0,1561,1
Brandon Camp,Brandon Camp,1.0,1,1237,1
Brazil,Brazil,1.0,1,1938,1
Kisimul Castle,Scotland,0.0,0,2644,1
1958,1958,1.0,1,1887,1
2 years,II,0.0,0,2771,1
action-adventure-fantasy,action,0.0,0,1733,1
Rudolf Nureyev,Rudolf Khametovich Nureyev,0.8,0,2655,1
A Mother's Gift,A Mother's Gift,1.0,1,1934,1
Predestination,Predestination,1.0,1,2368,1
World War II,World War II,1.0,1,1819,1
"August 5, 1962","August 5, 1962",1.0,1,2000,1
"Conway, Missouri",Missouri,0.6666666666666666,0,2369,1
Newton Heath LYR Football Club,the club was founded as Newton Heath LYR,0.6153846153846154,0,7909,1
Ford Motor Land Development and Petrie Dierman Kughn,Petrie Dierman Kughn in 1994.,0.4615384615384615,0,1881,1
New York Cotton Exchange,New York Cotton Exchange,1.0,1,1958,1
"8,765,000","8,765,000",1.0,1,1878,1
Mary Stanley,Mary Stanley,1.0,1,1920,1
Dick Van Dyke,Dick Van Dyke,1.0,1,3115,1
Luc Besson,Luc Besson,1.0,1,1941,1
St. Johns College was an important contributor and co-sponsor of EnVISIONing Annapolis.,Important contributors and co-sponsors,0.25,0,2163,1
1975,1975,1.0,1,1677,1
Andrew Goth,Andrew Goth,1.0,1,1571,1
Gordie Tapp,"banjo player and former member of the television variety show ""Hee Haw"" gang having played the role of Ida Lee Nagger, the ironing, nagging wife of Laverne Nagger (Gordie Tapp).",0.125,0,1712,1
Hyde United Football Club,Hyde United Football Club,1.0,1,1323,1
2005,"March 3, 2005",0.5,0,2910,1
"Psychedelic rock, progressive rock",rock,0.4,0,7459,1
40 years,40 years,1.0,1,1768,1
Royal Irish Regiment,Royal Irish Regiment,1.0,1,1837,1
Greta Garbo,Greta Garbo,1.0,1,1977,1
Arto Tunçboyacıyan,Arto Tunçboyacıyan,1.0,1,1389,1
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,1.0,1,2575,1
Enterprise Rent-A-Car,Enterprise Rent-A-Car,1.0,1,1206,1
Ethanol,Ethanol,1.0,1,2520,1
Kansas City Chiefs,2016 Kansas City Chiefs season,0.7499999999999999,0,2840,1
Burchardia,Burchardia,1.0,1,1544,1
game shows,game shows,1.0,1,1801,1
World War II,World War II,1.0,1,1645,1
Americans,Americans,1.0,1,1894,1
Sri Lanka,Sri Lanka,1.0,1,1723,1
"March 1, 2017","March 1, 2017",1.0,1,1721,1
Pearl Harbor,Pearl Harbor,1.0,1,1874,1
"Atlanta, Georgia","Atlanta, Georgia",1.0,1,2134,1
M.I.L.F. $,M.I.L.F. $,1.0,1,2046,1
(RED),RED,1.0,1,2885,1
Calvin Coolidge,John Calvin Coolidge Jr.,0.6666666666666666,0,2653,1
13-18,13-18,1.0,1,1548,1
Molière,Molière,1.0,1,1955,1
1957,1957,1.0,1,1207,1
Smriti Irani,Smriti Malhotra,0.5,0,1806,1
