prediction,reference,f1,em,tokens_used,num_api_calls,error
Richard Nixon,President Richard Nixon,0.8,0,2237,3,
Indogrammodes,Crambidae,0.0,0,4503,3,
6.213 km,6.213 km long,0.8,0,3664,4,
U.S. Highway 60,US 60,0.8,0,3618,4,
Todd Phillips,Todd Phillips,1.0,1,2799,3,
No,no,1.0,1,2276,3,
Aleksander Ford,Aleksander Ford,1.0,1,2254,3,
Ulster County,Ulster County,1.0,1,3533,4,
Francis Nethersole,Sir Francis Nethersole,0.8,0,2433,3,
ingredients in beer,ingredients in beer,1.0,1,3474,4,
Glenn Hughes,Glenn Hughes,1.0,1,3147,4,
1941,"March 28, 1941",0.5,0,3409,4,
standard gauge track,standard gauge track,1.0,1,2534,3,
Saint Motel,Saint Motel,1.0,1,2217,3,
dancing,dancer Gregory Hines,0.0,0,6034,5,
Yes,yes,1.0,1,3477,3,
Hawaii,Hawaii,1.0,1,3666,4,
Academy of Motion Picture Arts and Sciences,Academy of Motion Picture Arts and Sciences,1.0,1,3233,4,
Cheltenham,Cheltenham,1.0,1,3358,4,
10 Rillington Place,10 Rillington Place,1.0,1,2666,3,
synth-pop,synth-pop,1.0,1,3770,4,
Roger Christian,Roger Christian,1.0,1,6779,5,
Herbaceous plants,plant,0.0,0,2708,3,
375 miles,375 mi long,0.4,0,3162,4,
Craig Newmark,Craig Newmark,1.0,1,3356,4,
1963 Pan American Games,Pan American Games,0.8571428571428571,0,2416,3,
Cognizant,Cognizant,1.0,1,3197,4,
Presque Isle State Park,Presque Isle,0.6666666666666666,0,2702,3,
Select Security Stadium,Select Security Stadium,1.0,1,3555,4,
Isabelle Mergault,Isabelle Mergault,1.0,1,8138,5,
0.9 seconds,0.9 s.,0.5,0,4723,4,
Halestorm,Halestorm,1.0,1,2412,3,
"2,523","2,523",1.0,1,3409,4,
Albuquerque,"Albuquerque, New Mexico",0.5,0,5295,4,
Millard Fillmore,Millard Fillmore,1.0,1,3819,4,
Rihanna,Rihanna,1.0,1,2513,3,
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,2608,3,
Magazine,magazine,1.0,1,2250,3,
,DC Comics,0.0,0,0,0,APITimeoutError: Request timed out.
Hannibal Lecter,Hannibal Lecter,1.0,1,2098,3,
Mark L. Lester,Mark L. Lester,1.0,1,2363,3,
Dairy products,dairy products,1.0,1,3231,4,
85,85,1.0,1,3250,4,
Jeff Green,Jeffrey Lynn Green,0.4,0,3673,4,
Yes,yes,1.0,1,2135,3,
Johannesburg,Johannesburg,1.0,1,2070,3,
Big Data,Big Data,1.0,1,3301,4,
1960,1960,1.0,1,2692,3,
Hillary Clinton,Hillary Rodham Clinton,0.8,0,3114,3,
Doctor Who,Doctor Who,1.0,1,3280,4,
Victorian era,Victorian era,1.0,1,3256,4,
Nokia Theatre,Nokia Theatre,1.0,1,2586,3,
Attack on Pearl Harbor,attack on Pearl Harbor,1.0,1,2847,3,
"October 1, 2017",October 1st,0.4,0,3310,4,
Vestfold,Vestfold,1.0,1,3253,3,
Josh Jackson,Josh Jackson,1.0,1,3484,4,
Cosmicomics,"""Cosmicomics""",1.0,1,3423,3,
American,American,1.0,1,3245,4,
England–Germany football rivalry,England and West Germany,0.0,0,2459,3,
Emilia-Romagna,northern Italian region,0.0,0,2288,3,
14 November 1889,14 November 1889,1.0,1,3660,4,
1 million,1 million,1.0,1,4323,4,
Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,0.6666666666666666,0,3237,4,
,I-90,0.0,0,0,0,APITimeoutError: Request timed out.
Conscription,Conscription in the United States,0.33333333333333337,0,5106,4,
Ford Fusion,Ford Fusion,1.0,1,2709,3,
1880,1880,1.0,1,3154,4,
Bart Conner,Bart Conner,1.0,1,5014,5,
Advanced Micro Devices,Advanced Micro Devices,1.0,1,2516,3,
Stacey Kent,Stacey Kent,1.0,1,3328,4,
Barton Mine,Barton Mine,1.0,1,3175,3,
"3,544","3,544",1.0,1,3275,4,
Yes,yes,1.0,1,2244,3,
tennis players,former tennis player,0.4,0,2750,3,
Elyes Gabel,Elyes Gabel,1.0,1,3232,4,
singing and acting,"singer-songwriter, actor",0.0,0,4226,4,
No,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler",0.0,0,2300,3,
Ben Miller,Ben Miller,1.0,1,2676,3,
Nick Cave,Nick Cave,1.0,1,2306,3,
Lafayette,"Gilbert du Motier, Marquis de Lafayette",0.2857142857142857,0,3794,4,
UEFA Euro 2020,UEFA Euro 2020,1.0,1,2250,3,
Continental Airlines,International Association of Machinists,0.0,0,3635,3,
Putnam County,Putnam County,1.0,1,3285,4,
Planes,Planes,1.0,1,2416,3,
brassy or comic roles,comic roles,0.6666666666666666,0,3736,4,
Hurricane Ivan,Hurricane Ivan,1.0,1,3839,4,
hunting,bred for hunting,0.5,0,2327,3,
Peter F. Paul,Peter F. Paul,1.0,1,2523,3,
1908,1908,1.0,1,8219,5,
Sulphur Bank Mine,Sulphur Bank Mine,1.0,1,4093,3,
Lorraine Hansberry,Lorraine Vivian Hansberry,0.8,0,2265,3,
Leroy,Leroy,1.0,1,2620,3,
