prediction,reference,f1,em,tokens_used,num_api_calls
Arthur's Magazine,Arthur's Magazine,1.0,1,1644,1
Delhi,Delhi,1.0,1,1576,1
American,American,1.0,1,1848,1
ethanol,alcohol,0.0,0,1870,1
Jonathan Stark,Jonathan Stark,1.0,1,2532,1
2006,2006,1.0,1,2085,1
El-P,Jaime Meline,0.0,0,1999,1
Walter Coy,Walter Darwin Coy,0.8,0,1900,1
United States,United States,1.0,1,5039,1
2006,2006,1.0,1,2748,1
Fox,Fox,1.0,1,2423,1
Hawaii,Hawaii,1.0,1,1320,1
The Wolfhounds,The Wolfhounds,1.0,1,1841,1
16,16-year-old,0.0,0,2490,1
World War II,World War II,1.0,1,2129,1
No,no,1.0,1,2004,1
Yes,yes,1.0,1,2222,1
director,director,1.0,1,1735,1
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,1841,1
The Saimaa Gesture,The Saimaa Gesture,1.0,1,1310,1
David Lee Roth,David Lee Roth,1.0,1,1987,1
Nassau County,Nassau County,1.0,1,1765,1
Dessau,Dessau,1.0,1,1471,1
The Chimes,The Joshua Tree,0.4,0,1600,1
Tammy Wynette,Tammy Wynette,1.0,1,2574,1
No,no,1.0,1,1443,1
Kato,Kato,1.0,1,1726,1
Province of Buenos Aires,Province of Buenos Aires,1.0,1,2114,1
1932,1932,1.0,1,1756,1
nine,nine,1.0,1,2541,1
Conservative Party,Conservative,0.6666666666666666,0,1983,1
Salaam Bombay,Salaam Bombay,1.0,1,1732,1
Yes,yes,1.0,1,1611,1
Zooey Deschanel,Zooey Deschanel,1.0,1,2359,1
15,15,1.0,1,2123,1
Filmmaker,filmmaker,1.0,1,1582,1
Golf Magazine,Golf Magazine,1.0,1,1814,1
Mr. Burns,Mr. Burns,1.0,1,2636,1
"Washington, D.C.","Washington, D.C.",1.0,1,2095,1
Christopher Hitchens,Christopher Hitchens,1.0,1,2722,1
R Adams Cowley,R Adams Cowley,1.0,1,2275,1
Dennis Publishing Ltd.,Dennis Publishing,0.8,0,1639,1
Garth Brooks,Garth Brooks,1.0,1,2611,1
Dirt,Dirt,1.0,1,3070,1
The Fantastic The,The Fantastic The,1.0,1,1925,1
1988,1988,1.0,1,2281,1
"722,664","722,664",1.0,1,1787,1
Max Gail,Max Gail,1.0,1,1749,1
Yes,yes,1.0,1,1207,1
Gillette Stadium,Gillette Stadium,1.0,1,1595,1
Fu Manchu,Fu Manchu,1.0,1,1813,1
Lullwater Estate,Lullwater Estate,1.0,1,1812,1
Sumerians,the Sumerians,0.6666666666666666,0,1975,1
17%,17%,1.0,1,15052,1
David Boren,David Lyle Boren,0.8,0,1980,1
Lawrence County,Lawrence County,1.0,1,2180,1
MedStar Washington Hospital Center,MedStar Washington Hospital Center,1.0,1,2189,1
"294,000 passengers","294,000",0.6666666666666666,0,1787,1
Yes,yes,1.0,1,2257,1
"February 5, 1953","February 5, 1953",1.0,1,2969,1
Target,Target Corporation,0.6666666666666666,0,2187,1
Cheryl Campbell,Cheryl Campbell,1.0,1,1775,1
Bob Barker,Bob Barker,1.0,1,1582,1
F.E.A.R.,F.E.A.R.,1.0,1,1695,1
Hustle,Hustle,1.0,1,1771,1
Tantallon Castle,Tantallon Castle,1.0,1,2113,1
Exeter Book,Exeter Book,1.0,1,2602,1
Desert Fox,the Desert Fox,0.8,0,2029,1
New Jersey,New Jersey,1.0,1,1559,1
My Own Worst Enemy,My Own Worst Enemy,1.0,1,1794,1
1979,1979,1.0,1,2048,1
Relays,3000 metres steeplechase,0.0,0,17059,1
Anna Kournikova,Anna Kournikova,1.0,1,2219,1
yes,yes,1.0,1,2151,1
Mary Pierce,Mary Pierce,1.0,1,1564,1
St. Olaf College,St. Olaf College,1.0,1,1647,1
Jardine Matheson,Jardine Matheson,1.0,1,2297,1
No,no,1.0,1,1469,1
