prediction,reference,f1,em,tokens_used,num_api_calls,error
Arthur's Magazine,Arthur's Magazine,1.0,1,4362,4,
Delhi,Delhi,1.0,1,4316,4,
American,American,1.0,1,7919,4,
Ethanol,alcohol,0.0,0,6715,5,
Jonathan Stark,Jonathan Stark,1.0,1,4642,4,
2006,2006,1.0,1,4562,4,
El-P,Jaime Meline,0.0,0,4694,4,
Walter Coy,Walter Darwin Coy,0.8,0,6208,5,
United States,United States,1.0,1,6295,5,
2006,2006,1.0,1,7630,5,
Fox,Fox,1.0,1,4385,4,
California,Hawaii,0.0,0,4278,4,
The Wolfhounds,The Wolfhounds,1.0,1,5097,4,
,16-year-old,0.0,0,10974,6,Actor failed: APITimeoutError: Request timed out.
World War II,World War II,1.0,1,5802,5,
"No, Leonid Levin was a computer scientist, while Pavel Urysohn was a mathematician known for his contributions to topology and dimension theory.",no,0.08695652173913045,0,5034,4,
"Yes, both *Jane* and *First for Women* are women's magazines. *First for Women* is explicitly described as a woman's magazine, and *Jane* was created to appeal to women, specifically targeting those who did not like the typical women's magazine format.",yes,0.04878048780487806,0,5415,4,
Director,director,1.0,1,4638,4,
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,5381,5,
The Saimaa Gesture,The Saimaa Gesture,1.0,1,4685,4,
David Lee Roth,David Lee Roth,1.0,1,4228,4,
Nassau County,Nassau County,1.0,1,5480,5,
Dessau,Dessau,1.0,1,5571,5,
The Chimes,The Joshua Tree,0.4,0,5831,5,
Tammy Wynette,Tammy Wynette,1.0,1,6821,5,
"No. While a Paloma is a tequila-based cocktail, a Gin and tonic is based on gin.",no,0.11764705882352941,0,4634,4,
Kato,Kato,1.0,1,4578,4,
Province of Buenos Aires,Province of Buenos Aires,1.0,1,5322,4,
1932,1932,1.0,1,7493,4,
9 weeks,nine,0.0,0,7153,5,
Conservative Party,Conservative,0.6666666666666666,0,5474,5,
Salaam Bombay,Salaam Bombay,1.0,1,8468,5,
Yes,yes,1.0,1,4332,4,
Zooey Deschanel,Zooey Deschanel,1.0,1,5906,4,
15,15,1.0,1,5508,4,
Filmmaker,filmmaker,1.0,1,7599,5,
Golf Magazine,Golf Magazine,1.0,1,5190,4,
Mr. Burns,Mr. Burns,1.0,1,5241,4,
"Washington, D.C.","Washington, D.C.",1.0,1,4551,4,
Christopher Hitchens,Christopher Hitchens,1.0,1,5051,4,
R Adams Cowley,R Adams Cowley,1.0,1,17099,9,
Dennis Publishing,Dennis Publishing,1.0,1,4734,4,
Garth Brooks,Garth Brooks,1.0,1,6143,4,
Dirt,Dirt,1.0,1,6162,5,
The Fantastic The,The Fantastic The,1.0,1,5205,4,
1988,1988,1.0,1,6165,5,
"722,664","722,664",1.0,1,6032,5,
Max Gail,Max Gail,1.0,1,6639,4,
Yes,yes,1.0,1,4022,4,
Gillette Stadium,Gillette Stadium,1.0,1,5602,5,
Fu Manchu,Fu Manchu,1.0,1,4497,4,
Lullwater Estate,Lullwater Estate,1.0,1,5535,4,
Sumerians,the Sumerians,0.6666666666666666,0,5783,5,
17%,17%,1.0,1,8834,5,
David Boren,David Lyle Boren,0.8,0,6080,5,
Lawrence County,Lawrence County,1.0,1,5948,5,
MedStar Washington Hospital Center,MedStar Washington Hospital Center,1.0,1,5014,4,
"294,000","294,000",1.0,1,6477,4,
Yes,yes,1.0,1,4277,4,
"February 5, 1953","February 5, 1953",1.0,1,6299,5,
Target,Target Corporation,0.6666666666666666,0,9204,4,
Cheryl Campbell,Cheryl Campbell,1.0,1,6933,5,
Bob Barker,Bob Barker,1.0,1,4247,4,
F.E.A.R.,F.E.A.R.,1.0,1,5559,4,
Hustle,Hustle,1.0,1,7120,5,
Bass Rock Castle,Tantallon Castle,0.4,0,6062,4,
Exeter Book,Exeter Book,1.0,1,6941,5,
The Desert Fox,the Desert Fox,1.0,1,6302,5,
New Jersey,New Jersey,1.0,1,5461,5,
"""My Own Worst Enemy""",My Own Worst Enemy,1.0,1,5028,4,
1979,1979,1.0,1,5634,5,
3000 metres steeplechase,3000 metres steeplechase,1.0,1,17114,6,
Anna Kournikova,Anna Kournikova,1.0,1,5174,4,
Yes,yes,1.0,1,4957,4,
Mary Pierce,Mary Pierce,1.0,1,4354,4,
St. Olaf College,St. Olaf College,1.0,1,4934,4,
Jardine Matheson,Jardine Matheson,1.0,1,4727,4,
No,no,1.0,1,4465,4,
"May 30, 1943","May 30, 1943",1.0,1,5553,5,
1957,1957,1.0,1,6681,5,
Berlin,Berlin,1.0,1,6588,5,
Jimmie Ross,Jimmie Ross,1.0,1,4527,4,
The American Chemical Society,the American Chemical Society,1.0,1,6404,5,
Park Dietz,Park Dietz,1.0,1,5824,4,
,Roy Orbison,0.0,0,2337,1,Actor failed: APITimeoutError: Request timed out.
Song of the South,"""Song of the South"".",1.0,1,4641,4,
"Vincent ""Mad Dog"" Coll","Vincent ""Mad Dog"" Coll",1.0,1,4881,4,
"108,249","108,249",1.0,1,5498,5,
1984,1984,1.0,1,6284,5,
,Carmina Burana,0.0,0,5506,1,Actor failed: APITimeoutError: Request timed out.
Michael Dowse,Michael Dowse,1.0,1,6708,4,
Barack Obama,Barack Hussein Obama II,0.6666666666666666,0,4268,4,
"56,551","56,551",1.0,1,6389,5,
Chicago,Chicago,1.0,1,19103,10,
Yes,yes,1.0,1,4458,4,
23rd Summer Deaflympics,the 23rd Summer Deaflympics,0.8571428571428571,0,4815,4,
Peter Chelsom,Peter Chelsom,1.0,1,5740,4,
"Uniondale, New York","Uniondale, New York",1.0,1,6589,5,
Acapulco,Sinaloa,0.0,0,9741,5,
2003,2003,1.0,1,5228,5,
Odysseas Elytis,Odysseas Elytis,1.0,1,4888,4,
Argentine,Argentine,1.0,1,13337,5,
Robert E. Howard,Richard Ford,0.0,0,7106,5,
The United States,United States,0.8,0,6470,5,
The Producers,The Producers,1.0,1,9975,6,
Saturday Night Live,Saturday Night Live,1.0,1,2649,2,
barnstormer,barnstormer,1.0,1,5783,5,
Saludos Amigos,Saludos Amigos,1.0,1,5066,4,
Chile,Chile,1.0,1,4569,4,
Institute of Muslim Minority Affairs,Institute of Muslim Minority Affairs,1.0,1,5045,4,
Graham Hess,Graham Hess,1.0,1,5763,5,
Mara Santangelo,Mara Santangelo,1.0,1,4527,4,
Martha Coolidge,Martha Coolidge,1.0,1,5769,5,
Panzer,Panzer,1.0,1,7199,4,
