prediction,reference,f1,em,tokens_used,num_api_calls,error
Badr Hari,Badr Hari,1.0,1,4553,4,
Super Bowl XLVIII,Super Bowl XLVIII,1.0,1,4565,4,
"James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0.6666666666666666,0,6768,5,
2017,2017,1.0,1,4783,4,
Nevada,Nevada,1.0,1,4104,4,
Kelli Ward,Kelli Ward,1.0,1,6325,4,
Carol Lawrence,Carol Lawrence,1.0,1,6468,5,
New York City,New York City,1.0,1,4544,4,
Amy Jo Johnson,Amy Jo Johnson,1.0,1,4747,4,
Australia,Australia,1.0,1,4666,4,
California,California,1.0,1,1927,2,
Roman Catholic,Roman Catholic,1.0,1,4657,4,
Howard Marks,Dennis Howard Marks,0.8,0,6554,5,
Robert Sheehan,Robert Sheehan,1.0,1,4375,4,
Sex and the City,Sex and the City,1.0,1,4751,4,
England,England,1.0,1,4642,4,
Robert Zemeckis,Robert Zemeckis,1.0,1,5011,4,
South Park,South Park,1.0,1,4634,4,
Boston College,Boston College,1.0,1,5391,4,
Victor Mature,Victor John Mature,0.8,0,4851,4,
Canada,Canada,1.0,1,4304,4,
Keyshia Cole,Keyshia Cole,1.0,1,5367,4,
Peter O'Meara portrayed the real-life World War II officer Norman Dike in the HBO miniseries *Band of Brothers*.,Band of Brothers,0.2857142857142857,0,5202,4,
Train to Busan,Train to Busan,1.0,1,5505,4,
Music,rock band,0.0,0,4451,4,
CEO of Lionsgate UK & Europe,CEO of Lionsgate UK & Europe,1.0,1,9528,5,
Jane Lynch,Swoosie Kurtz,0.0,0,3546,2,
Neither,Great Britain,0.0,0,7362,4,
"Yeon Woo-jin, born on July 5, 1984","July 5, 1984",0.6,0,6896,5,
Turkey,Turkey,1.0,1,4623,4,
300,300,1.0,1,5544,4,
"2,586","2,586",1.0,1,5865,5,
English,English,1.0,1,4234,4,
Imi Lichtenfeld,"Emrich ""Imi"" Lichtenfeld",0.8,0,5927,4,
Lord Black of Crossharbour,Lord Black of Crossharbour,1.0,1,6101,5,
Hong Kong,Hong Kong,1.0,1,4722,4,
Danny Manning,Danny Manning,1.0,1,4706,4,
Bust,BUST,1.0,1,5009,4,
Rock,rock,1.0,1,6500,5,
Sarah J. Maas,Sarah Janet Maas,0.6666666666666666,0,4053,4,
Gorillaz,alternative rock virtual band Gorillaz,0.33333333333333337,0,6217,5,
Rock,rock,1.0,1,24195,11,
Tsim Sha Tsui,"Tsim Sha Tsui, Hong Kong",0.7499999999999999,0,6502,5,
Massachusetts,Massachusetts,1.0,1,4157,4,
,beetle,0.0,0,3020,1,Actor failed: APITimeoutError: Request timed out.
Cataloochee,Cataloochee,1.0,1,6480,5,
NBC 10,NBC 10,1.0,1,5461,4,
,playwright,0.0,0,1209,1,Actor failed: APITimeoutError: Request timed out.
China,China,1.0,1,3871,4,
The Raconteurs,The Raconteurs,1.0,1,4317,4,
Cooking Light,Cooking Light,1.0,1,4843,4,
Radiohead,Radiohead,1.0,1,2276,2,
Opera,opera,1.0,1,5148,4,
Lyudmila Petrushevskaya,Lyudmila Stefanovna Petrushevskaya,0.8,0,5609,5,
Yes,yes,1.0,1,4173,4,
Donington,"Donington, Lincolnshire",0.6666666666666666,0,5786,5,
ESPN,ESPN,1.0,1,6069,5,
Amelia Earhart,Amelia Earhart,1.0,1,6698,5,
England,England,1.0,1,2428,2,
Germany,Germany,1.0,1,4618,4,
George Frideric Handel,George Frideric Handel,1.0,1,6617,5,
Valley View Casino Center,Valley View Casino Center,1.0,1,6325,5,
Paul McCartney,Paul McCartney,1.0,1,4219,4,
,refers to different weight classes,0.0,0,2222,1,Actor failed: APITimeoutError: Request timed out.
Love/Hate,Love/Hate,1.0,1,5242,4,
,Scott Joplin,0.0,0,0,0,Critic failed: APITimeoutError: APITimeoutError('Request timed out.')
Ram Charan,Ram Charan,1.0,1,6449,5,
"September 29, 1784","September 29, 1784",1.0,1,5645,5,
2,two,0.0,0,4981,4,
25 June 1961,25 June 1961,1.0,1,4095,4,
Field hockey,2012 Summer Olympics,0.0,0,4513,4,
The Ladykillers,The Ladykillers,1.0,1,2615,2,
,is a British author,0.0,0,1296,1,Actor failed: APITimeoutError: Request timed out.
Born to Run,Born to Run,1.0,1,4446,4,
England,England,1.0,1,4652,4,
Mar-a-Lago,Mar-a-Lago,1.0,1,5487,4,
Singer-songwriter,lead singer,0.0,0,4838,4,
Dick Van Patten,Richard Vincent Van Patten,0.5714285714285715,0,5945,5,
Vancouver Canucks,Vancouver Canucks,1.0,1,3905,4,
"No, only Roberto Bolaño is Chilean; Yukio Mishima is Japanese.",no,0.18181818181818182,0,5489,4,
"""I Will Always Love You""",I Will Always Love You,1.0,1,6843,5,
,Adelphi Theatre,0.0,0,3195,1,Actor failed: APITimeoutError: Request timed out.
Steyr Mannlicher,Steyr Mannlicher,1.0,1,5617,5,
Country music,country,0.6666666666666666,0,5443,4,
Film director,film director,1.0,1,4602,4,
Warrington,Cheshire,0.0,0,5085,4,
,American Pie,0.0,0,1637,1,Actor failed: APITimeoutError: Request timed out.
1979,Mellon Collie and the Infinite Sadness,0.0,0,6804,4,
Duchy of Cornwall land,Duchy of Cornwall land,1.0,1,4954,4,
Brandon Camp,Brandon Camp,1.0,1,4643,4,
Brazil,Brazil,1.0,1,4714,4,
"On a small island off Castlebay, Barra, in the Outer Hebrides, Scotland (Kisimul Castle).",Scotland,0.13333333333333333,0,6256,4,
1958,1958,1.0,1,5396,5,
2,II,0.0,0,4967,4,
Action-adventure-fantasy,action,0.0,0,4047,4,
Rudolf Nureyev,Rudolf Khametovich Nureyev,0.8,0,5427,4,
A Mother's Gift,A Mother's Gift,1.0,1,5625,4,
Predestination,Predestination,1.0,1,6066,5,
World War II,World War II,1.0,1,4000,4,
"August 5, 1962","August 5, 1962",1.0,1,6670,5,
"a ranch in Conway, Missouri",Missouri,0.33333333333333337,0,6298,5,
Newton Heath LYR Football Club,the club was founded as Newton Heath LYR,0.6153846153846154,0,6485,5,
Ford Motor Land Development and Petrie Dierman Kughn,Petrie Dierman Kughn in 1994.,0.4615384615384615,0,6513,5,
New York Cotton Exchange,New York Cotton Exchange,1.0,1,4290,4,
"approximately 8,765,000","8,765,000",0.6666666666666666,0,6130,4,
Mary Stanley,Mary Stanley,1.0,1,4861,4,
Dick Van Dyke,Dick Van Dyke,1.0,1,8085,4,
Luc Besson,Luc Besson,1.0,1,4198,4,
St. John's College was an important contributor and co-sponsor of the EnVISIONing Annapolis project.,Important contributors and co-sponsors,0.22222222222222224,0,5268,4,
1975,1975,1.0,1,6264,4,
Andrew Goth,Andrew Goth,1.0,1,4477,4,
Gordie Tapp,"banjo player and former member of the television variety show ""Hee Haw"" gang having played the role of Ida Lee Nagger, the ironing, nagging wife of Laverne Nagger (Gordie Tapp).",0.125,0,8485,5,
Hyde United F.C.,Hyde United Football Club,0.5714285714285715,0,4005,4,
2005,"March 3, 2005",0.5,0,22180,12,
Rock,rock,1.0,1,15417,5,
40,40 years,0.6666666666666666,0,5101,4,
Royal Irish Regiment,Royal Irish Regiment,1.0,1,7145,5,
Greta Garbo,Greta Garbo,1.0,1,5293,4,
Arto Tunçboyacıyan,Arto Tunçboyacıyan,1.0,1,4780,4,
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,1.0,1,5061,4,
Enterprise Rent-A-Car,Enterprise Rent-A-Car,1.0,1,5294,4,
Ethanol,Ethanol,1.0,1,2895,2,
Kansas City Chiefs,2016 Kansas City Chiefs season,0.7499999999999999,0,6362,4,
Burchardia,Burchardia,1.0,1,4953,4,
game shows,game shows,1.0,1,5147,4,
World War II,World War II,1.0,1,4631,4,
The Americans,Americans,0.6666666666666666,0,15653,9,
