prediction,reference,f1,em,tokens_used,num_api_calls,error
Richard Nixon,President Richard Nixon,0.8,0,3376,4,
,Crambidae,0.0,0,1654,1,Actor failed: APITimeoutError: Request timed out.
6.213 km,6.213 km long,0.8,0,4998,5,
U.S. Highway 60,US 60,0.8,0,4616,5,
Todd Phillips,Todd Phillips,1.0,1,6003,5,
"No, The New Pornographers is a Canadian band, while Kings of Leon is an American band.",no,0.11764705882352941,0,4162,4,
Aleksander Ford,Aleksander Ford,1.0,1,3207,4,
Ulster County,Ulster County,1.0,1,5166,5,
"Francis Nethersole was born first (1587), while Elizabeth Stuart was born in 1596.",Sir Francis Nethersole,0.25,0,3488,4,
"The ingredients in its beer (under the Reinheitsgebot, or German Beer Purity Law).",ingredients in beer,0.375,0,4634,4,
"Glenn Hughes is older. He was born on August 21, 1951, while Ross Lynch was born on December 29, 1995.",Glenn Hughes,0.18181818181818182,0,3350,4,
1941,"March 28, 1941",0.5,0,4799,5,
Standard gauge,standard gauge track,0.8,0,3913,4,
Saint Motel,Saint Motel,1.0,1,3290,4,
Tap dancing,dancer Gregory Hines,0.0,0,5937,5,
"Yes, both are approximately 13 miles long.",yes,0.25,0,5930,4,
Hawaii,Hawaii,1.0,1,4874,5,
The Academy of Motion Picture Arts and Sciences (AMPAS),Academy of Motion Picture Arts and Sciences,0.8750000000000001,0,4198,5,
"The Government Communications Headquarters (GCHQ), one of the three main British intelligence agencies, is based in **Cheltenham** (specifically in a building known as ""The Doughnut"").",Cheltenham,0.07692307692307693,0,5228,5,
10 Rillington Place,10 Rillington Place,1.0,1,3664,4,
Synth-pop,synth-pop,1.0,1,4214,5,
Roger Christian,Roger Christian,1.0,1,9230,6,
Herbaceous,plant,0.0,0,4010,4,
375 miles,375 mi long,0.4,0,4122,5,
Craig Newmark,Craig Newmark,1.0,1,4518,5,
1963 Pan American Games,Pan American Games,0.8571428571428571,0,3349,4,
Cognizant,Cognizant,1.0,1,4346,5,
Presque Isle State Park,Presque Isle,0.6666666666666666,0,4718,4,
Select Security Stadium,Select Security Stadium,1.0,1,4972,5,
Isabelle Mergault,Isabelle Mergault,1.0,1,8082,5,
0.9 seconds,0.9 s.,0.5,0,6617,5,
Halestorm,Halestorm,1.0,1,4714,5,
"2,523","2,523",1.0,1,5206,5,
"Albuquerque, New Mexico","Albuquerque, New Mexico",1.0,1,8653,4,
Millard Fillmore,Millard Fillmore,1.0,1,5182,4,
Rihanna,Rihanna,1.0,1,3567,4,
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,4027,4,
Magazine,magazine,1.0,1,3229,4,
,DC Comics,0.0,0,2218,1,Actor failed: APITimeoutError: Request timed out.
Hannibal Lecter,Hannibal Lecter,1.0,1,2936,4,
Mark L. Lester,Mark L. Lester,1.0,1,3416,4,
Dairy products,dairy products,1.0,1,4531,5,
85,85,1.0,1,4471,5,
Jeff Green,Jeffrey Lynn Green,0.4,0,5425,5,
"Yes, both *Up* and *The Watercolor* were released in 2009.",yes,0.18181818181818182,0,3483,4,
Johannesburg,Johannesburg,1.0,1,3004,4,
Big Data,Big Data,1.0,1,3721,4,
,1960,0.0,0,1127,1,Actor failed: APITimeoutError: Request timed out.
"Based on the provided text, *It Takes a Family* is a response to the 1996 book *It Takes a Village*, which was published by **Hillary Rodham Clinton**.",Hillary Rodham Clinton,0.19999999999999998,0,5868,5,
,Doctor Who,0.0,0,1313,1,Actor failed: APITimeoutError: Request timed out.
"The man associated with Fanny Talbot was John Ruskin, who was the leading art critic of the **Victorian era**.",Victorian era,0.1904761904761905,0,4671,5,
"The late-night talk show host of ""Chelsea Lately,"" Chelsea Handler, hosted the 2010 MTV Video Music Awards at the **Nokia Theatre** in Los Angeles.",Nokia Theatre,0.15384615384615385,0,3469,4,
"The event was the **Attack on Pearl Harbor** (December 7, 1941). Magruder Hill Tuttle was a senior officer at the Pearl Harbor naval base at the time of the surprise strike by the Imperial Japanese Navy Air Service.",attack on Pearl Harbor,0.1904761904761905,0,4393,4,
"October 1, 2017",October 1st,0.4,0,4766,5,
Vestfold,Vestfold,1.0,1,5186,4,
Josh Jackson,Josh Jackson,1.0,1,4827,5,
Cosmicomics,"""Cosmicomics""",1.0,1,5629,5,
American,American,1.0,1,4407,5,
"The rivalry involved is the **England–Germany football rivalry**. The chant, titled ""Two World Wars and One World Cup,"" is sung by England supporters and references the United Kingdom's victories in World War I and World War II, as well as England's victory over West Germany in the 1966 FIFA World Cup Final.",England and West Germany,0.14285714285714288,0,3795,4,
Emilia-Romagna,northern Italian region,0.0,0,3027,4,
Jawaharlal Nehru was born on 14 November 1889.,14 November 1889,0.5454545454545454,0,4938,5,
,1 million,0.0,0,1209,1,Actor failed: APITimeoutError: Request timed out.
Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,0.6666666666666666,0,4420,5,
U.S. Route 4,I-90,0.0,0,7940,4,
,Conscription in the United States,0.0,0,7706,5,Actor failed: APITimeoutError: Request timed out.
Ford Fusion,Ford Fusion,1.0,1,4319,4,
"The company that publishes the journal *Magnetic Resonance Imaging* is Elsevier, which was established in **1880**.",1880,0.11764705882352941,0,4348,5,
Bart Conner,Bart Conner,1.0,1,5012,5,
Advanced Micro Devices,Advanced Micro Devices,1.0,1,3459,4,
Stacey Kent,Stacey Kent,1.0,1,5395,6,
Barton Mine,Barton Mine,1.0,1,4670,4,
"3,544","3,544",1.0,1,4383,5,
Yes,yes,1.0,1,3432,4,
Former professional tennis players,former tennis player,0.5714285714285715,0,3902,4,
Elyes Gabel,Elyes Gabel,1.0,1,4595,5,
Singing and acting,"singer-songwriter, actor",0.0,0,4000,4,
"No, only George Avakian is a record producer; Bobby Managoff was a professional wrestler.","Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler",0.21428571428571427,0,3455,4,
Ben Miller,Ben Miller,1.0,1,5776,5,
Nick Cave,Nick Cave,1.0,1,3365,4,
The Marquis de Lafayette,"Gilbert du Motier, Marquis de Lafayette",0.6,0,6336,5,
UEFA Euro 2020,UEFA Euro 2020,1.0,1,3289,4,
Eastern Air Lines,International Association of Machinists,0.0,0,10866,6,
Putnam County,Putnam County,1.0,1,5122,4,
Planes,Planes,1.0,1,4033,4,
Brassy or comic roles,comic roles,0.6666666666666666,0,4608,5,
Hurricane Ivan,Hurricane Ivan,1.0,1,5289,5,
Hunting,bred for hunting,0.5,0,4649,5,
Peter F. Paul,Peter F. Paul,1.0,1,4543,4,
1908,1908,1.0,1,13701,6,
,Sulphur Bank Mine,0.0,0,2123,1,Actor failed: APITimeoutError: Request timed out.
Lorraine Hansberry,Lorraine Vivian Hansberry,0.8,0,3291,4,
Leroy,Leroy,1.0,1,3530,4,
The Brothers Grimm,Brothers Grimm,0.8,0,3571,4,
,PUBG Corp.,0.0,0,1417,1,Actor failed: APITimeoutError: Request timed out.
Denny Doherty,Dennis Gerrard Stephen Doherty,0.3333333333333333,0,5741,5,
The band was **the Germs**.,The Go-Go's,0.28571428571428575,0,4098,4,
Philippe Coutinho,Philippe Coutinho Correia,0.8,0,8444,6,
Moroni,Moroni,1.0,1,4222,5,
"No, Fragaria is edible, but Manettia is not.",no,0.2222222222222222,0,6109,4,
1981,1981,1.0,1,3992,5,
Norman Jewison,Norman Jewison,1.0,1,3807,4,
"The piece is **Lincolnshire Posy** by Percy Grainger. Specifically, the melody of its second movement, ""Lost Lady Found,"" is very similar to the folk song ""Green Bushes.""",Lincolnshire Posy,0.13793103448275862,0,6100,5,
He Stopped Loving Her Today,He Stopped Loving Her Today,1.0,1,4577,5,
Andrzej Żuławski,Andrzej Żuławski,1.0,1,3485,4,
,williamsworks,0.0,0,3988,1,Actor failed: APITimeoutError: Request timed out.
Queer as Folk,Queer as Folk,1.0,1,4824,5,
1954,1954,1.0,1,4488,5,
,magnesium,0.0,0,1413,1,Actor failed: APITimeoutError: Request timed out.
1969,1969,1.0,1,4362,5,
Iceland,Iceland,1.0,1,6382,4,
"The Brothers Quay won an award first (1998 Drama Desk Award), compared to Alexandra Shiva (2001 award for *Bombay Eunuch*).",Brothers Quay,0.18181818181818182,0,3706,4,
American,American,1.0,1,4429,5,
1968,1968,1.0,1,4567,5,
Huaihua,Huaihua,1.0,1,4030,4,
Harry Craft,Harry Francis Craft,0.8,0,7114,5,
The Key deer,Key deer,0.8,0,3659,4,
Billy Bob Thornton,"""Billy Bob"" Thornton",1.0,1,4563,5,
Raymond Mays,Raymond Mays,1.0,1,15321,9,
The coloured lights on the sides of the building.,coloured lights,0.3636363636363636,0,4257,4,
No,yes,0.0,0,5034,4,
"Larry Linville, who starred in *School Spirit*, is best known for his portrayal of the surgeon Major Frank Burns on the television series *M*A*S*H*.",surgeon Major Frank Burns,0.2857142857142857,0,4406,5,
Denmark,Denmark,1.0,1,4332,4,
"The airplane model flown in Malaysian Airlines Flight 370 was the Boeing 777-200ER, which is commonly nicknamed the **""Triple Seven""**.","""Triple Seven""",0.18181818181818182,0,5416,5,
Bralorne,Bralorne,1.0,1,3866,4,
,United States Secretary of State,0.0,0,1954,1,Actor failed: APITimeoutError: Request timed out.
Genus,genus,1.0,1,3512,4,
"A Grammy Award for Best Hard Rock Performance (won by the single ""All My Life"" from the album *One by One*).",Grammy Award,0.17391304347826084,0,5534,4,
Wang Xiaoshuai,Del Lord,0.0,0,3237,4,
Serj Tankian,Serj Tankian,1.0,1,4423,4,
a Vice documentary,a Vice documentary,1.0,1,7747,4,
Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,1.0,1,4695,5,
,Kosači,0.0,0,1818,1,Actor failed: APITimeoutError: Request timed out.
Frida,Frida,1.0,1,4138,5,
1400 miles,1400 mi,0.5,0,4539,5,
Joël Robuchon,Joël Robuchon,1.0,1,6404,4,
Bacoli,Bacoli,1.0,1,5210,5,
,yes,0.0,0,1136,1,Actor failed: APITimeoutError: Request timed out.
Yes,yes,1.0,1,3782,4,
The Ugliest Pilgrim,The Ugliest Pilgrim,1.0,1,4572,5,
"The company that produced ""Six Gates Far Away Mon Colle Knight"" (Mon Colle Knights) is **Group SNE**, which was founded in **1986**.",in 1986,0.16666666666666669,0,5005,5,
Dayton's (also known as The Dayton Company),Target Corporation,0.0,0,5320,5,
High Plains,High Plains,1.0,1,4429,4,
"45,000","45,000",1.0,1,5577,5,
Slade,Slade,1.0,1,5610,4,
Magazines,magazine,0.0,0,3442,4,
"Based on the number of editions held by 2010, **Miss Universe** was around longer. The 2010 Miss Universe pageant was the 59th edition of the competition, whereas the 2010 Miss Perú pageant was the 58th edition.",Miss Universe,0.10526315789473684,0,5130,4,
Clarissa Eden,Anne Clarissa Eden,0.8,0,4033,4,
BC Žalgiris,Žalgiris Kaunas.,0.5,0,5030,4,
Singing training,software for singing training,0.6666666666666666,0,8620,5,
"The song used by Niels de Ruiter as his walk-on music is ""Enter Sandman,"" which comes from the 1991 album **Metallica** (often referred to as the Black Album).",Metallica,0.0689655172413793,0,4584,5,
"Yes, Halestorm is from Pennsylvania and Say Anything is from California.",yes,0.16666666666666669,0,3670,4,
Peter Garrett,Peter Robert Garrett,0.8,0,3392,4,
The Underdog Show was presented by Julian Clary for **six weeks**.,six-week television series,0.0,0,3198,4,
"No, neither Ted Tetzlaff nor David Siegel were film actors. Ted Tetzlaff was a cinematographer, and David Siegel is a film director, screenwriter, and producer.",no,0.07692307692307693,0,3780,4,
,producer,0.0,0,30083,10,Critic failed: APITimeoutError: APITimeoutError('Request timed out.')
The Classic Crime,The Classic Crime,1.0,1,5128,4,
Steven Tyler,Steven Tyler,1.0,1,3891,4,
5.5 million,5.5 million,1.0,1,4690,5,
Jens Lehmann,Jens Lehmann,1.0,1,8162,5,
Will Traynor,Will Traynor,1.0,1,4517,5,
Abigail Breslin,Abigail Breslin,1.0,1,5444,4,
Fifth,fifth,1.0,1,5500,5,
PEC Zwolle,Zwolle,0.6666666666666666,0,3462,4,
Connie Murphy,Connie Murphy,1.0,1,4953,4,
Make,Make,1.0,1,4647,5,
"Robert Palmer is distinguished by his **distinctive, soulful voice** and an **eclectic mix of musical styles** (combining soul, jazz, rock, pop, reggae, and blues), which enabled him to achieve Top 10 success in both the UK and the US.",eclectic mix of musical styles,0.22727272727272727,0,4156,4,
Yahi,the Yahi tribe,0.5,0,4439,4,
"Operation Nordwind happened first. It began on December 31, 1944, while the Battle of Okinawa began on April 1, 1945.",Operation North Wind,0.08695652173913045,0,3644,4,
Serge Haroche,Serge Haroche,1.0,1,3875,4,
The Melvins,The Melvins,1.0,1,3850,4,
"Steve Peterson appeared as **Aguecheek** (Sir Andrew Aguecheek) in *Twelfth Night*, which is the Shakespeare comedy written for the close of the Christmas season.",Aguecheek,0.07999999999999999,0,5061,4,
"No, **Sorbus** is a genus of plants, but **morning glory** is a common name for over 1,000 species belonging to many different genera (such as *Ipomoea*, *Convolvulus*, etc.), rather than a single genus itself.",yes,0.0,0,3869,4,
"Yes, both Camassia and Chelone are native to North America. Camassia is native to Canada and the United States, while Chelone is native to eastern North America.",yes,0.07142857142857142,0,3512,4,
No,no,1.0,1,3395,4,
,Polka,0.0,0,1133,1,Actor failed: APITimeoutError: Request timed out.
Bob Stoops,Bob Stoops,1.0,1,4856,4,
Marmaduke,Marmaduke,1.0,1,3779,4,
"John Tardy was born first (March 15, 1968) compared to Tom Barman (January 1, 1972).",John Tardy,0.23529411764705882,0,3542,4,
Lil' Mo,Cynthia Karen Loving,0.0,0,5159,5,
Prince of Bismarck,"Prince of Bismarck, Duke of Lauenburg",0.6666666666666666,0,6279,5,
Melbourne,Melbourne,1.0,1,3792,4,
Jungle Jim,Jungle Jim,1.0,1,4127,5,
"The 2001 NFL Draft, in which Kenyatta Walker was selected, was held at the **Theater at Madison Square Garden** in **New York City, New York**.",Theater at Madison Square Garden,0.33333333333333337,0,4981,5,
Slovenian,Slovenian,1.0,1,3622,4,
"""I Knew You Were Trouble""",I Knew You Were Trouble,1.0,1,3665,4,
The operatic commedia in three acts is *Il trionfo dell'onore* by Alessandro Scarlatti. It was first performed at the **Teatro dei Fiorentini** in **Naples**.,Teatro dei Fiorentini,0.2222222222222222,0,4356,4,
"September 26, 1984","September 26, 1984",1.0,1,3506,4,
2015,2015,1.0,1,9589,4,
David Connell,David Connell,1.0,1,10174,6,
,It performed disappointingly,0.0,0,12774,6,Actor failed: APITimeoutError: Request timed out.
,The Jungle Book,0.0,0,12092,5,Actor failed: APITimeoutError: Request timed out.
"Yevgeny Kafelnikov is younger. He was born on February 18, 1974, while Allan Stone was born on October 14, 1945.",Yevgeny Aleksandrovich Kafelnikov,0.1739130434782609,0,3955,4,
"The **Queen Elizabeth-class battleships** were the Royal Navy battleships considered the first fast battleships. Commissioned between 1915 and 1916, they served in both World War I and World War II.","Queen Elizabeth""-class battleships",0.18181818181818182,0,4374,4,
