prediction,reference,f1,em,tokens_used,num_api_calls,error
Arthur's Magazine,Arthur's Magazine,1.0,1,1952,3,
Delhi,Delhi,1.0,1,4258,5,
American,American,1.0,1,5748,6,
"Alcohol, ethyl alcohol, and drinking alcohol",alcohol,0.2857142857142857,0,3160,4,
Jonathan Stark,Jonathan Stark,1.0,1,2088,3,
2006,2006,1.0,1,3467,4,
El-P,Jaime Meline,0.0,0,1962,3,
Walter Coy,Walter Darwin Coy,0.8,0,4550,5,
United States,United States,1.0,1,3651,4,
2006,2006,1.0,1,4854,5,
Fox,Fox,1.0,1,2900,4,
California,Hawaii,0.0,0,1918,3,
"The Wolfhounds were founded first in 1985, before Hole was founded in 1989.",The Wolfhounds,0.2666666666666667,0,4749,5,
16,16-year-old,0.0,0,3350,4,
World War II,World War II,1.0,1,7808,6,
No,no,1.0,1,2545,3,
Yes,yes,1.0,1,2888,4,
director,director,1.0,1,2645,4,
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,3094,4,
The Saimaa Gesture,The Saimaa Gesture,1.0,1,2023,3,
David Lee Roth,David Lee Roth,1.0,1,2124,3,
Nassau County,Nassau County,1.0,1,3045,4,
Dessau,Dessau,1.0,1,2839,4,
The Chimes,The Joshua Tree,0.4,0,3021,4,
Tammy Wynette,Tammy Wynette,1.0,1,3755,4,
No,no,1.0,1,2336,3,
Kato,Kato,1.0,1,2941,4,
The Province of Buenos Aires,Province of Buenos Aires,0.888888888888889,0,3906,4,
1932,1932,1.0,1,4480,4,
9,nine,0.0,0,3645,4,
Conservative Party,Conservative,0.6666666666666666,0,2948,4,
Salaam Bombay,Salaam Bombay,1.0,1,7526,6,
Yes,yes,1.0,1,2934,4,
Zooey Deschanel,Zooey Deschanel,1.0,1,3361,4,
15,15,1.0,1,3277,4,
filmmaker,filmmaker,1.0,1,5894,6,
Golf Magazine,Golf Magazine,1.0,1,4677,5,
Mr. Burns,Mr. Burns,1.0,1,3310,4,
"Washington, D.C.","Washington, D.C.",1.0,1,2274,3,
Christopher Hitchens,Christopher Hitchens,1.0,1,2301,3,
R Adams Cowley,R Adams Cowley,1.0,1,4797,5,
Dennis Publishing Ltd,Dennis Publishing,0.8,0,3354,4,
Garth Brooks,Garth Brooks,1.0,1,2709,3,
