level,prediction,reference,f1,em,tokens_used,num_api_calls,error,rule_added
hard,"Based on the provided documents, the accounting companies that make up the ""Big Four"" excluding Ernst & Young are:

* **PricewaterhouseCoopers**
* **Deloitte Touche Tohmatsu**
* **KPMG** 

*(Note: These three, along with Ernst & Young, formed the ""Big Four"" after the collapse of Arthur Andersen, which was previously part of the ""Big Five"".)*","PricewaterhouseCoopers, Deloitte Touche Tohmatsu",0.15384615384615385,0,8007,6,,True
medium,Yes,yes,1.0,1,3376,4,,False
hard,,27 June 2013,0.0,0,11819,6,Actor failed: APITimeoutError: Request timed out.,False
medium,Hozier,Hozier,1.0,1,4836,5,,False
medium,Associated British Foods,Associated British Foods,1.0,1,5299,5,,False
medium,The Indian pariah dog is the progenitor of the dingo.,Indian pariah dog,0.4615384615384615,0,4805,4,,True
easy,HIV,HIV,1.0,1,5075,5,,False
hard,"Cesena, Romagna",Romagna,0.6666666666666666,0,3761,5,,True
easy,Discourse on the Origin and Basis of Inequality Among Men,Discourse on Inequality,0.4615384615384615,0,4068,4,,True
easy,Lee Seung-hyun,Lee Seung-hyun,1.0,1,3839,4,,False
easy,2,two,0.0,0,4662,4,,True
easy,1981,1981,1.0,1,3652,4,,False
hard,The Bazooka,Bazooka,0.6666666666666666,0,4478,5,,True
easy,Road running,Road running,1.0,1,4924,5,,False
hard,,rock,0.0,0,1299,1,Actor failed: APITimeoutError: Request timed out.,True
easy,1955,1955,1.0,1,3228,4,,False
hard,170,170 locations,0.6666666666666666,0,5236,5,,True
hard,,Mick Taylor,0.0,0,3223,1,Actor failed: APITimeoutError: Request timed out.,True
easy,Fawad Khan,Fawad Afzal Khan,0.8,0,5882,4,,True
easy,"The Newark NHL team is the **New Jersey Devils**. They relocated to Newark, New Jersey, for the 2007–08 season and play their home games at the Prudential Center.",New Jersey Devils,0.19354838709677416,0,9088,4,,True
medium,The Quiet Family,The Quiet Family,1.0,1,5000,5,,False
hard,The César Award (specifically for Best Actress),César Award,0.4444444444444445,0,5101,5,,True
easy,Indonesia,Indonesia,1.0,1,3044,4,,False
medium,1985,1985,1.0,1,3877,4,,False
hard,Murphy Brown,Jeff Mooring,0.0,0,4822,4,,True
easy,Peter Thiel,Peter Andreas Thiel,0.8,0,4501,5,,True
medium,Tiffany & Co.,Tiffany & Company,0.5,0,2974,4,,True
hard,Skanderbeg,Skanderbeg,1.0,1,3383,4,,False
easy,1941,1941,1.0,1,3048,4,,False
hard,,Ben Karlin,0.0,0,2554,1,Actor failed: APITimeoutError: Request timed out.,True
easy,Nine,nine,1.0,1,2939,4,,False
medium,Edward Teller,Edward Teller,1.0,1,3475,4,,False
hard,,Leah Kunkel,0.0,0,2034,1,Actor failed: APITimeoutError: Request timed out.,True
easy,Robert F. Simon,Robert F. Simon,1.0,1,5514,4,,False
hard,A hatchet,a hatchet,1.0,1,3449,4,,False
easy,,Bob Wills,0.0,0,1065,1,Actor failed: APITimeoutError: Request timed out.,True
medium,Tea Party Caucus,Tea Party Caucus,1.0,1,4586,5,,False
medium,1993,1993,1.0,1,3988,4,,False
medium,Bosnia and Herzegovina,Bosnia and Herzegovina,1.0,1,4993,5,,False
easy,1971,1971,1.0,1,3301,4,,False
medium,The National Archives and Records Administration (NARA),National Archives and Records Administration,0.8333333333333333,0,3397,4,,True
