prediction,reference,f1,em,tokens_used,num_api_calls,error
Richard Nixon,President Richard Nixon,0.8,0,4200,4,
Nepita,Crambidae,0.0,0,8619,4,
6.213 km,6.213 km long,0.8,0,6058,5,
U.S. Highway 60,US 60,0.8,0,5618,5,
Todd Phillips,Todd Phillips,1.0,1,7411,5,
"No, The New Pornographers is a Canadian indie rock band, while Kings of Leon is an American rock band.",no,0.1,0,4811,4,
Aleksander Ford,Aleksander Ford,1.0,1,4253,4,
Ulster County,Ulster County,1.0,1,6124,5,
Francis Nethersole,Sir Francis Nethersole,0.8,0,4260,4,
ingredients in beer,ingredients in beer,1.0,1,5374,4,
Glenn Hughes,Glenn Hughes,1.0,1,4464,4,
1941,"March 28, 1941",0.5,0,6076,5,
standard gauge track,standard gauge track,1.0,1,5061,4,
Saint Motel,Saint Motel,1.0,1,4424,4,
Tap dancing,dancer Gregory Hines,0.0,0,9007,6,
Yes,yes,1.0,1,6936,4,
Hawaii,Hawaii,1.0,1,6213,5,
Academy of Motion Picture Arts and Sciences,Academy of Motion Picture Arts and Sciences,1.0,1,5057,4,
Cheltenham,Cheltenham,1.0,1,4887,4,
10 Rillington Place,10 Rillington Place,1.0,1,5097,4,
synth-pop,synth-pop,1.0,1,6360,5,
Frank Oz,Roger Christian,0.0,0,8177,5,
Herbaceous,plant,0.0,0,4967,4,
375 mi,375 mi long,0.8,0,5376,5,
Craig Newmark,Craig Newmark,1.0,1,5012,4,
1963 Pan American Games,Pan American Games,0.8571428571428571,0,4485,4,
Cognizant,Cognizant,1.0,1,6011,5,
Presque Isle State Park,Presque Isle,0.6666666666666666,0,6548,5,
Select Security Stadium,Select Security Stadium,1.0,1,6431,5,
Isabelle Mergault,Isabelle Mergault,1.0,1,7331,5,
0.9 seconds,0.9 s.,0.5,0,7454,5,
Halestorm,Halestorm,1.0,1,5057,4,
"2,523","2,523",1.0,1,6357,5,
"Albuquerque, New Mexico","Albuquerque, New Mexico",1.0,1,10758,5,
Millard Fillmore,Millard Fillmore,1.0,1,8547,5,
Rihanna,Rihanna,1.0,1,4457,4,
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,4811,4,
Magazine,magazine,1.0,1,4446,4,
Promethea,DC Comics,0.0,0,8657,5,
Hannibal Lecter,Hannibal Lecter,1.0,1,4012,4,
Mark L. Lester,Mark L. Lester,1.0,1,4342,4,
dairy products,dairy products,1.0,1,6197,5,
85,85,1.0,1,5802,5,
Jeff Green,Jeffrey Lynn Green,0.4,0,6951,5,
Yes,yes,1.0,1,4360,4,
Johannesburg,Johannesburg,1.0,1,4297,4,
Big Data,Big Data,1.0,1,5803,5,
1960,1960,1.0,1,5896,4,
Hillary Rodham Clinton,Hillary Rodham Clinton,1.0,1,5642,4,
,Doctor Who,0.0,0,1310,1,Actor failed: APITimeoutError: Request timed out.
Victorian era,Victorian era,1.0,1,6040,5,
Nokia Theatre,Nokia Theatre,1.0,1,4628,4,
Attack on Pearl Harbor,attack on Pearl Harbor,1.0,1,5570,4,
"October 1, 2017",October 1st,0.4,0,6282,5,
Vestfold,Vestfold,1.0,1,8544,5,
Josh Jackson,Josh Jackson,1.0,1,5106,4,
Cosmicomics,"""Cosmicomics""",1.0,1,8261,6,
American,American,1.0,1,5962,5,
England-Germany football rivalry,England and West Germany,0.0,0,4670,4,
Emilia-Romagna,northern Italian region,0.0,0,4206,4,
14 November 1889,14 November 1889,1.0,1,5145,4,
1 million,1 million,1.0,1,5812,5,
Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,0.6666666666666666,0,5894,5,
Interstate 90,I-90,0.0,0,12829,5,
Enrollment Act,Conscription in the United States,0.0,0,7831,5,
Ford Fusion,Ford Fusion,1.0,1,5673,4,
1880,1880,1.0,1,5494,5,
Bart Conner,Bart Conner,1.0,1,6114,5,
Advanced Micro Devices,Advanced Micro Devices,1.0,1,4423,4,
Stacey Kent,Stacey Kent,1.0,1,5138,4,
Barton Mine,Barton Mine,1.0,1,6422,4,
"3,544","3,544",1.0,1,5654,5,
Yes,yes,1.0,1,4489,4,
Former tennis players,former tennis player,0.6666666666666666,0,5031,4,
,Elyes Gabel,0.0,0,2780,1,Actor failed: APITimeoutError: Request timed out.
Singer-songwriter and actor,"singer-songwriter, actor",0.8,0,4945,4,
No,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler",0.0,0,4551,4,
Ben Miller,Ben Miller,1.0,1,5933,5,
Nick Cave,Nick Cave,1.0,1,4542,4,
Lafayette,"Gilbert du Motier, Marquis de Lafayette",0.2857142857142857,0,6360,4,
UEFA Euro 2020,UEFA Euro 2020,1.0,1,4515,4,
,International Association of Machinists,0.0,0,40622,20,
Putnam County,Putnam County,1.0,1,6258,5,
Planes,Planes,1.0,1,4789,4,
brassy or comic roles,comic roles,0.6666666666666666,0,6611,5,
Hurricane Ivan,Hurricane Ivan,1.0,1,6206,5,
Hunting,bred for hunting,0.5,0,4562,4,
Peter F. Paul,Peter F. Paul,1.0,1,5576,4,
1908,1908,1.0,1,7664,4,
Sulphur Bank Mine,Sulphur Bank Mine,1.0,1,7934,4,
Lorraine Hansberry,Lorraine Vivian Hansberry,0.8,0,4250,4,
Leroy,Leroy,1.0,1,4748,4,
The Brothers Grimm,Brothers Grimm,0.8,0,6171,5,
Bluehole,PUBG Corp.,0.0,0,6056,5,
Denny Doherty,Dennis Gerrard Stephen Doherty,0.3333333333333333,0,6154,5,
The band is **the Germs**.,The Go-Go's,0.28571428571428575,0,5028,4,
Philippe Coutinho,Philippe Coutinho Correia,0.8,0,6403,5,
Moroni,Moroni,1.0,1,5491,5,
"No, *Fragaria* is edible, but *Manettia* is not.",no,0.2222222222222222,0,7057,4,
1981,1981,1.0,1,5241,5,
Norman Jewison,Norman Jewison,1.0,1,5510,5,
Lincolnshire Posy,Lincolnshire Posy,1.0,1,5540,4,
He Stopped Loving Her Today,He Stopped Loving Her Today,1.0,1,5928,5,
Andrzej Żuławski,Andrzej Żuławski,1.0,1,4472,4,
williamsworks,williamsworks,1.0,1,5143,4,
Queer as Folk,Queer as Folk,1.0,1,5046,4,
1954,1954,1.0,1,5362,5,
Magnesium ions,magnesium,0.6666666666666666,0,8024,5,
1969,1969,1.0,1,6735,5,
,Iceland,0.0,0,5116,1,Actor failed: APITimeoutError: Request timed out.
The Brothers Quay,Brothers Quay,0.8,0,6305,5,
American,American,1.0,1,5281,5,
1968,1968,1.0,1,5352,5,
Huaihua,Huaihua,1.0,1,4882,4,
Harry Craft,Harry Francis Craft,0.8,0,8793,5,
Key deer,Key deer,1.0,1,4877,4,
Billy Bob Thornton,"""Billy Bob"" Thornton",1.0,1,4806,4,
Peter Whitehead,Raymond Mays,0.0,0,6202,4,
coloured lights on the sides of the building,coloured lights,0.4,0,5823,4,
,yes,0.0,0,1229,1,Actor failed: APITimeoutError: Request timed out.
His portrayal of the surgeon Major Frank Burns on the television series *M*A*S*H*,surgeon Major Frank Burns,0.47058823529411764,0,5915,5,
Denmark,Denmark,1.0,1,7808,6,
Triple Seven,"""Triple Seven""",1.0,1,6253,5,
Bralorne,Bralorne,1.0,1,4187,4,
United States Secretary of State,United States Secretary of State,1.0,1,6498,5,
Genus,genus,1.0,1,4554,4,
Grammy Award for Best Hard Rock Performance,Grammy Award,0.4444444444444445,0,7620,5,
Wang Xiaoshuai,Del Lord,0.0,0,4111,4,
Serj Tankian,Serj Tankian,1.0,1,5172,4,
a Vice documentary which was shot in 2012,a Vice documentary,0.5454545454545454,0,6874,4,
Shayaa,Shayaa Bin Abraham-Joseph,0.5,0,5346,4,
,Kosači,0.0,0,2502,1,Actor failed: APITimeoutError: Request timed out.
Frida,Frida,1.0,1,5800,5,
1400 miles,1400 mi,0.5,0,5781,5,
Joël Robuchon,Joël Robuchon,1.0,1,10140,5,
Bacoli,Bacoli,1.0,1,7897,6,
Yes,yes,1.0,1,9122,5,
Yes,yes,1.0,1,4477,4,
"""The Ugliest Pilgrim""",The Ugliest Pilgrim,1.0,1,5700,5,
1986,in 1986,0.6666666666666666,0,5774,5,
Dayton's (which later became Target Corporation),Target Corporation,0.5,0,6261,4,
High Plains,High Plains,1.0,1,5214,4,
"approximately 45,000","45,000",0.6666666666666666,0,5288,4,
Slade,Slade,1.0,1,6896,4,
Magazines,magazine,0.0,0,4537,4,
Miss Universe,Miss Universe,1.0,1,16741,9,
Clarissa Eden,Anne Clarissa Eden,0.8,0,5645,4,
BC Žalgiris,Žalgiris Kaunas.,0.5,0,8498,6,
Singing training,software for singing training,0.6666666666666666,0,11773,6,
Metallica,Metallica,1.0,1,5438,5,
Yes,yes,1.0,1,4549,4,
Peter Garrett,Peter Robert Garrett,0.8,0,5255,4,
Six weeks,six-week television series,0.0,0,3980,4,
No.,no,1.0,1,5481,4,
,producer,0.0,0,1535,1,Actor failed: APITimeoutError: Request timed out.
The Classic Crime,The Classic Crime,1.0,1,6216,4,
Steven Tyler,Steven Tyler,1.0,1,5398,4,
5.5 million,5.5 million,1.0,1,5986,5,
,Jens Lehmann,0.0,0,3174,1,Actor failed: APITimeoutError: Request timed out.
Will Traynor,Will Traynor,1.0,1,5747,5,
Abigail Breslin,Abigail Breslin,1.0,1,6710,4,
Fifth,fifth,1.0,1,6913,5,
PEC Zwolle,Zwolle,0.6666666666666666,0,4878,4,
Connie Murphy,Connie Murphy,1.0,1,5064,4,
Make magazine,Make,0.6666666666666666,0,5775,5,
He had Top 10 songs in both the UK and the US.,eclectic mix of musical styles,0.0,0,8397,5,
Yahi,the Yahi tribe,0.5,0,4636,4,
Operation Nordwind,Operation North Wind,0.4,0,4854,4,
Serge Haroche,Serge Haroche,1.0,1,4962,4,
The Melvins,The Melvins,1.0,1,4838,4,
Aguecheek,Aguecheek,1.0,1,5597,4,
"No, Sorbus is a genus, whereas morning glory is a common name for species belonging to many different genera.",yes,0.0,0,4957,4,
Yes,yes,1.0,1,4657,4,
"No, the University of West Florida is an American university, but FH Joanneum is an Austrian university.",no,0.1111111111111111,0,5146,4,
Polka,Polka,1.0,1,7830,5,
Bob Stoops,Bob Stoops,1.0,1,15191,9,
Marmaduke,Marmaduke,1.0,1,5025,4,
John Tardy,John Tardy,1.0,1,4053,4,
Lil' Mo,Cynthia Karen Loving,0.0,0,6453,5,
Prince of Bismarck,"Prince of Bismarck, Duke of Lauenburg",0.6666666666666666,0,7283,5,
Melbourne,Melbourne,1.0,1,4721,4,
"""Jungle Jim""",Jungle Jim,1.0,1,5217,5,
"Theater at Madison Square Garden in New York City, New York",Theater at Madison Square Garden,0.625,0,5737,5,
Slovenian,Slovenian,1.0,1,4268,4,
"""I Knew You Were Trouble""",I Knew You Were Trouble,1.0,1,4804,4,
"Teatro dei Fiorentini, Naples",Teatro dei Fiorentini,0.8571428571428571,0,6795,5,
